Código;Nombre del producto;Marca;Categoría;Descripción;Precio (USD);Stock;Unidades disponibles
T101;Auriculares inalámbricos JBL;JBL;Tecnología;Auriculares Bluetooth 5.0 con sonido Pure Bass y batería de larga duración.;60.00;Stock disponible;43
T102;Zapatillas running Nike;Nike;Indumentaria;Zapatillas deportivas para correr, confort y durabilidad.;80.00;Stock limitado;15
T103;Mochila impermeable 25L;Adidas;Indumentaria;Mochila resistente al agua, ideal para estudio, trabajo o viajes.;40.00;Stock disponible;30
T104;Smartwatch GPS Xiaomi;Xiaomi;Tecnología;Reloj inteligente con pantalla Amoled, monitoreo de actividad y GPS.;120.00;Sin stock momentáneo;0
T105;Gafas de sol polarizadas RayBan;RayBan;Indumentaria;Lentes de sol UV400, diseño clásico y protección ocular.;95.00;Stock disponible;27
T106;Mouse inalámbrico Logitech;Logitech;Tecnología;Mouse óptico inalámbrico, diseño ergonómico y silencioso.;15.00;Stock disponible;27
T107;Notebook Lenovo 15.6'' 8GB RAM;Lenovo;Tecnología;Notebook con pantalla Full HD, SSD 256GB, rendimiento profesional.;450.00;Stock limitado;30
T108;Smart TV 43'' Samsung;Samsung;Tecnología;Televisor inteligente Full HD, conectividad y streaming integrado.;380.00;Stock disponible;72
T109;Tablet Huawei 10'' 64GB;Huawei;Tecnología;Tablet con sistema Android 11, ideal para trabajo y entretenimiento.;210.00;Stock limitado;28
T110;Teclado mecánico RGB Redragon;Redragon;Tecnología;Teclado mecánico con retroiluminación RGB y switches blue.;35.00;Stock disponible;34
I201;Remera básica algodón;Topper;Indumentaria;Remera 100% algodón, varios colores, cómoda para uso diario.;10.00;Stock disponible;17
I202;Jean clásico unisex;Levi's;Indumentaria;Jean azul corte recto, para hombres y mujeres.;22.00;Stock disponible;35
I203;Campera impermeable unisex;Montagne;Indumentaria;Campera corta viento, resistente al agua, ideal para lluvia.;35.00;Stock limitado;32
I204;Ojotas Havaianas;Havaianas;Indumentaria;Ojotas brasileñas originales, talles 35-45, colores surtidos.;9.00;Stock disponible;35
I205;Bufanda polar;Benetton;Indumentaria;Bufanda de micropolar, colores variados, ideal para invierno.;7.00;Stock disponible;41
I206;Guantes lana unisex;Reusch;Indumentaria;Guantes de lana, talle único, suaves y abrigados.;6.00;Stock disponible;35
H301;Ventilador de pie 16'' 3 vel.;Liliana;Hogar;3 velocidades, altura regulable, bajo consumo, garantía oficial.;45.00;Stock disponible;46
H302;Estufa eléctrica 2000w;Peabody;Hogar;Estufa portátil de bajo consumo, dos niveles de calor.;38.00;Stock limitado;24
H303;Olla Essen 24cm;Essen;Hogar;Olla de aluminio fundido, antiadherente, ideal para guisos y pastas.;90.00;Stock disponible;73
H304;Set de cubiertos x24;Tramontina;Hogar;Set de acero inoxidable, resistente, incluye caja organizadora.;32.00;Stock disponible;54
H305;Vaso vidrio x6 350ml;Durax;Hogar;Pack de 6 vasos de vidrio, diseño clásico, aptos lavavajillas.;12.00;Stock disponible;43
H306;Sábanas 2 plazas;Canon;Hogar;Juego de sábanas microfibra, suaves y frescas, fácil lavado.;25.00;Stock disponible;45
H307;Almohada 50x70cm;Suavegom;Hogar;Almohada de fibra siliconada, extra suave, soporte ergonómico.;10.00;Stock disponible;76
H308;Cortina baño PVC;Cannon;Hogar;Cortina para baño, estampada, fácil de limpiar, antimoho.;7.00;Stock disponible;64
H309;Lámpara LED 9w;EcoLuz;Hogar;Lámpara LED rosca E27, bajo consumo y larga duración.;3.00;Stock disponible;75
H310;Termo acero inoxidable 1L;Stanley;Hogar;Termo ultra resistente, mantiene temperatura 24hs.;36.00;Stock limitado;20
B057;Salsa de tomate 520g;La Campagnola;Alimentos;Salsa lista para pastas, pizzas y guisos, tomates frescos seleccionados.;1.99;Stock disponible;65
B058;Yerba mate compuesta 1kg;CBSé;Bebidas;Yerba mate suave con hierbas naturales, perfecta para compartir.;3.70;Stock disponible;122
B059;Leche descremada larga vida 1L;La Serenísima;Lácteos;Leche descremada UHT, fuente de calcio y proteínas, baja en grasas.;2.35;Stock disponible;153
B060;Azúcar mascabo 500g;Ledesma;Alimentos;Azúcar integral de caña sin refinar, endulza de forma natural.;1.15;Stock disponible;264
B061;Galletitas de agua 200g;Bagley;Alimentos;Galletitas crocantes, ligeras, ideales para desayuno y merienda.;4.68;Stock disponible;294
B062;Shampoo hidratante 400ml;Sedal;Cuidado personal;Shampoo con vitamina E y aloe vera para todo tipo de cabello.;5.49;Stock disponible;100
B063;Lavandina aroma lavanda 1L;Ayudín;Limpieza;Desinfectante perfumado, elimina el 99,9% de bacterias y virus.;5.10;Stock disponible;80
B064;Detergente concentrado limón 750ml;Magistral;Limpieza;Líquido concentrado, quita grasa difícil y perfuma a limón.;5.00;Stock disponible;108
B065;Jabón líquido para manos 300ml;Protex;Cuidado personal;Jabón antibacterial, protege y cuida la piel diariamente.;3.56;Stock disponible;72
B066;Papel higiénico hoja doble x12;Elite;Hogar;Extra suave y resistente, pack familiar para uso diario.;2.43;Stock disponible;206
B067;Servilletas 100u;Elite;Hogar;Paquete de 100 servilletas blancas, absorbentes y prácticas.;2.03;Stock disponible;124
B068;Limpiador multiuso 1L;Cif;Limpieza;Líquido para pisos y superficies, fragancia fresca.;4.99;Stock disponible;69
B069;Bizcochos de grasa 300g;Don Satur;Alimentos;Snack salado tradicional, crocante y sabroso.;5.64;Stock disponible;173
B070;Salsa mayonesa 500g;Hellmann's;Alimentos;Mayonesa cremosa, ideal para ensaladas y sandwiches.;4.14;Stock disponible;217
B071;Gaseosa cola 1.5L;Coca-Cola;Bebidas;Bebida gaseosa clásica, sabor original y refrescante.;1.30;Stock disponible;257
B072;Jugo naranja 1L;Ades;Bebidas;Jugo de naranja natural, sin conservantes.;4.73;Stock disponible;191
B073;Galletas de arroz 100g;Granix;Alimentos;Sin TACC, apto celíacos, ideales para picadas o colaciones.;4.42;Stock disponible;177
B074;Pan rallado 500g;Noel;Alimentos;Para milanesas, croquetas y rebozados, textura perfecta.;2.11;Stock disponible;159
B075;Atún al natural 170g;La Campagnola;Alimentos;Atún enlatado bajo en sodio, ideal para ensaladas.;4.53;Stock disponible;262
B076;Choclo en grano 350g;Arcor;Alimentos;Choclo dulce enlatado, listo para consumir.;2.33;Stock disponible;153
B077;Puré de tomate 520g;La Campagnola;Alimentos;Puré de tomate natural, sin aditivos.;4.40;Stock disponible;286
B078;Crema de leche 200ml;Milkaut;Lácteos;Crema para postres, salsas o café, textura suave.;5.35;Stock disponible;93
B079;Galletitas integrales 200g;Arcor;Alimentos;Con semillas y fibras, opción saludable para snack.;5.89;Stock disponible;155
B080;Budin marmolado 200g;Arcor;Alimentos;Budin esponjoso con cacao, ideal para meriendas.;2.25;Stock disponible;56
B081;Tostadas de salvado 150g;Fargo;Alimentos;Tostadas crocantes, fuente de fibra, bajas calorías.;4.99;Stock disponible;142
B082;Manteca light 100g;Sancor;Lácteos;Menos calorías, misma cremosidad y sabor.;4.16;Stock disponible;173
B083;Galletitas dulces rellenas 180g;Sonrisas;Alimentos;Galletas dulces con relleno de vainilla y chocolate.;5.78;Stock disponible;71
B084;Pure instantáneo 125g;Knorr;Alimentos;Puré de papas listo en 1 minuto, práctico y sabroso.;3.05;Stock disponible;284
B085;Tapas para empanadas 12u;La Salteña;Alimentos;Discos de masa para horno y freír, fáciles de usar.;1.07;Stock disponible;173
B086;Crema corporal 200ml;Nivea;Cuidado personal;Hidrata en profundidad, absorción rápida y fragancia suave.;3.64;Stock disponible;57
B087;Enjuague bucal 250ml;Colgate;Cuidado personal;Protección completa, elimina bacterias y combate el mal aliento.;2.93;Stock disponible;166
B088;Protector solar FPS50 120ml;Bioderma;Cuidado personal;Alta protección UVA/UVB, resistente al agua.;2.98;Stock disponible;125
B089;Alcohol en gel 500ml;Ayudín;Limpieza;Desinfectante de manos instantáneo, práctico para llevar.;5.44;Stock disponible;133
B090;Toallas húmedas 50u;Huggies;Bebé;Suaves y resistentes, sin alcohol ni parabenos.;2.66;Stock disponible;209
B091;Crema dental 90g;Colgate;Cuidado personal;Blanquea, fortalece el esmalte y previene caries.;2.95;Stock disponible;58
B092;Desodorante aerosol 150ml;Rexona;Cuidado personal;Protección 48hs, fragancia fresca y duradera.;1.98;Stock disponible;180
B093;Desodorante ambiente jazmín 360cc;Glade;Hogar;Desodorante en aerosol, neutraliza olores y perfuma.;3.14;Stock disponible;244
B094;Roll on antitranspirante 50ml;Dove;Cuidado personal;Suave con la piel, protección y frescura todo el día.;3.26;Stock disponible;98
B095;Repelente de insectos 170cc;Off!;Cuidado personal;Protege hasta 6hs, ideal para exteriores y niños.;2.46;Stock disponible;144
B096;Pañuelos descartables x6;Elite;Cuidado personal;Paquetes de pañuelos suaves, resistentes y compactos.;2.77;Stock disponible;173
B097;Algodón hidrófilo 200g;Swiss Just;Cuidado personal;Algodón extra suave, para higiene y cosmética.;5.59;Stock disponible;172
B098;Talco desodorante 100g;Polvo Imperial;Cuidado personal;Absorbe humedad, previene irritaciones, fresco aroma.;2.87;Stock disponible;149
B099;Curitas x10 unidades;Curitas;Cuidado personal;Bandas adhesivas hipoalergénicas, para heridas y cortes leves.;1.68;Stock disponible;252
B100;Tapones para oídos 6u;3M;Cuidado personal;Reduce ruidos molestos, cómodos y reutilizables.;1.91;Stock disponible;137
B101;Enjuague para ropa 900ml;Suavitel;Limpieza;Deja la ropa suave y perfumada, fragancia de larga duración.;2.60;Stock disponible;122
B102;Jabón en polvo 800g;Ala;Limpieza;Detergente en polvo para lavarropas, máxima limpieza.;3.10;Stock disponible;79
B103;Limpiador desinfectante 1L;Poett;Limpieza;Líquido desinfectante multiusos, aroma floral.;2.30;Stock disponible;49
B104;Detergente lavavajillas 750ml;Axion;Limpieza;Elimina grasa difícil, aroma a limón.;1.35;Stock disponible;68
B105;Desodorante en barra 50g;Rexona;Cuidado personal;Protección y frescura todo el día, antitranspirante.;2.00;Stock disponible;94
B106;Alcohol etílico 500ml;Porta;Limpieza;Antiséptico y desinfectante, uso general.;1.75;Stock disponible;88
B107;Cloro granulado 1kg;Clorotec;Limpieza;Para desinfección de agua y limpieza profunda.;4.20;Stock disponible;27
B108;Ambientador aerosol 400ml;Poett;Hogar;Neutraliza olores y perfuma ambientes.;1.90;Stock disponible;75
B109;Bolsa de residuos 30u;Marolio;Hogar;Bolsas resistentes para residuos, tamaño familiar.;2.15;Stock disponible;60
B110;Escoba de plástico;Virulana;Hogar;Cerdas duraderas, ideal para pisos interiores y exteriores.;3.70;Stock disponible;25
B111;Trapo de piso algodón;Virulana;Hogar;Trapo absorbente, apto todo tipo de superficies.;1.60;Stock disponible;53
B112;Desodorante para piso 1L;Poett;Limpieza;Perfuma y desinfecta, fragancia marina.;2.00;Stock disponible;65
B113;Limpiavidrios 500ml;Mr Músculo;Limpieza;Remueve manchas y deja los vidrios brillantes.;1.90;Stock disponible;49
B114;Esponja doble acción x3;Scotch-Brite;Limpieza;Esponja para limpieza profunda sin rayar.;1.30;Stock disponible;88
B115;Insecticida aerosol 360ml;RAID;Hogar;Elimina insectos rastreros y voladores.;4.10;Stock disponible;37
B116;Desodorante textil 400ml;Poett;Hogar;Elimina olores de ropa y telas.;2.20;Stock disponible;28
B117;Crema para manos 100ml;Nivea;Cuidado personal;Hidratación profunda para manos secas y agrietadas.;3.40;Stock disponible;40
B118;Perfume femenino 50ml;Avon;Perfumería;Aroma floral, elegante y duradero.;6.70;Stock disponible;15
B119;Perfume masculino 50ml;Axe;Perfumería;Aroma fresco y vibrante, larga duración.;6.70;Stock disponible;15
B120;Acondicionador 400ml;Head & Shoulders;Cuidado personal;Deja el cabello suave y sin caspa.;3.20;Stock disponible;50
B121;Gel fijador cabello 150g;Capilatis;Cuidado personal;Fijación fuerte y brillo natural.;2.60;Stock disponible;32
B122;Desodorante roll on 50ml;Dove;Cuidado personal;Protección efectiva, cuida la piel.;2.30;Stock disponible;36
B123;Jabón líquido corporal 250ml;Protex;Cuidado personal;Antibacterial, limpieza profunda y protección.;2.10;Stock disponible;50
B124;Crema de afeitar 65g;La Toja;Cuidado personal;Suaviza la barba, fácil afeitado, piel protegida.;2.80;Stock disponible;27
B125;Maquinita de afeitar x3;Prestobarba;Cuidado personal;Cuchillas dobles, afeitado preciso y seguro.;2.60;Stock disponible;33
B126;Algodón en discos 100u;Cotton;Cuidado personal;Para desmaquillar y limpieza facial suave.;1.50;Stock disponible;52
B127;Toallitas desmaquillantes 25u;Nivea;Cuidado personal;Remueven maquillaje e hidratan la piel.;2.70;Stock disponible;41
B128;Crema corporal 250ml;Hinds;Cuidado personal;Con vitamina E, para todo tipo de piel.;2.40;Stock disponible;39
B129;Protector labial 5g;Nivea;Cuidado personal;Hidrata y protege contra el sol y el frío.;1.60;Stock disponible;50
B130;Colonia infantil 100ml;Baby Dove;Bebé;Fragancia suave y segura para bebés.;3.90;Stock disponible;26
B131;Crema antipañalitis 100g;Hipoglós;Bebé;Protege la piel del bebé, previene irritaciones.;4.20;Stock disponible;31
B132;Shampoo bebé 200ml;Johnson's;Bebé;No irrita los ojos, limpieza suave.;2.20;Stock disponible;42
B133;Jabón bebé 90g;Johnson's;Bebé;Para la piel delicada del bebé, hipoalergénico.;1.20;Stock disponible;52
B134;Toallitas húmedas 50u;Babysec;Bebé;Extra suaves, sin alcohol, cuidado especial para bebés.;2.10;Stock disponible;33
B135;Pañales XG x20;Huggies;Bebé;Super absorbentes, sistema anti-fugas.;7.80;Stock limitado;17
B136;Biberón 250ml;Avent;Bebé;Material libre de BPA, diseño anatómico.;4.50;Stock disponible;18
B137;Chupete ortodóntico x2;Nuk;Bebé;Para la salud bucal del bebé, materiales seguros.;3.30;Stock disponible;24
B138;Termómetro digital;Ové;Hogar;Medición precisa y rápida, pantalla digital.;5.20;Stock disponible;19
B139;Alcohol en gel 100ml;Ayudín;Limpieza;Desinfectante instantáneo, práctico para llevar.;1.10;Stock disponible;55
B140;Curitas infantiles x10;Curitas;Cuidado personal;Bandas adhesivas con diseños para niños.;1.50;Stock disponible;48
B141;Protector solar FPS30 100ml;Biore;Cuidado personal;Protección UVA/UVB, resistente al agua.;4.30;Stock disponible;29
B142;Crema dental infantil 60g;Colgate;Cuidado personal;Especial para niños, sabor suave, previene caries.;1.70;Stock disponible;39
B143;Cepillo dental adulto;Oral-B;Cuidado personal;Cerdas suaves, limpieza profunda.;1.90;Stock disponible;72
B144;Cepillo dental infantil;Oral-B;Cuidado personal;Especial para niños, cerdas suaves.;1.90;Stock disponible;66
B145;Hilo dental 50m;Colgate;Cuidado personal;Limpieza interdental completa y suave.;2.20;Stock disponible;42
B146;Enjuague bucal infantil 250ml;Oral-B;Cuidado personal;Sabor suave, protege dientes y encías de niños.;2.30;Stock disponible;38
B147;Shampoo anticaspa 400ml;Head & Shoulders;Cuidado personal;Elimina la caspa y deja el cabello suave.;3.80;Stock disponible;47
B148;Acondicionador para niños 200ml;Johnson's;Bebé;Desenreda y suaviza el cabello de los niños.;2.70;Stock disponible;23
B149;Espuma de afeitar 200ml;La Toja;Cuidado personal;Facilita el afeitado, cuida la piel.;2.80;Stock disponible;33
B150;Cera depilatoria 100g;Veet;Cuidado personal;Remueve el vello eficazmente, piel suave por más tiempo.;4.10;Stock disponible;22
B151;Crema depilatoria 150ml;Veet;Cuidado personal;Elimina el vello sin dolor, piel suave.;3.90;Stock disponible;24
B152;Pinza depilar acero;Tramontina;Cuidado personal;Precisión para depilar y dar forma.;2.00;Stock disponible;18
B153;Algodón hidrófilo 100g;Swiss Just;Cuidado personal;Extra suave para higiene y cosmética.;1.40;Stock disponible;27
B154;Hisopos flexibles 200u;Marolio;Cuidado personal;Para higiene diaria, extremos de algodón puro.;1.20;Stock disponible;30
B155;Desodorante para calzado 120ml;Odex;Cuidado personal;Elimina olores y refresca el calzado.;2.30;Stock disponible;19
B156;Limpiador dental en spray 15ml;Listerine;Cuidado personal;Frescura instantánea, elimina bacterias.;2.70;Stock disponible;21
B157;Sales de baño 250g;Just;Cuidado personal;Relajantes, aroma lavanda, hidratan la piel.;3.20;Stock disponible;15
B158;Mascarilla facial hidratante 1u;Garnier;Cuidado personal;Hidrata y revitaliza la piel en 15 minutos.;1.80;Stock disponible;27
B159;Crema antiage 50ml;L'Oreal;Cuidado personal;Reduce arrugas, firmeza y luminosidad.;6.90;Stock disponible;11
B160;Crema para pies 80g;Eucerin;Cuidado personal;Repara y suaviza la piel seca y agrietada.;3.10;Stock disponible;18
B161;Desodorante ambiente auto 2u;Glade;Hogar;Neutraliza olores y perfuma el auto.;2.00;Stock disponible;16
B162;Limpiador de vidrios 1L;Mr Músculo;Limpieza;Remueve manchas y deja vidrios relucientes.;2.20;Stock disponible;22
B163;Limpiador cocina 500ml;Mr Músculo;Limpieza;Elimina grasa difícil, aroma cítrico.;2.10;Stock disponible;30
B164;Lustra muebles 250ml;Virginia;Limpieza;Realza y protege la madera, aroma agradable.;3.20;Stock disponible;13
B165;Desinfectante pisos 1L;Cif;Limpieza;Desinfecta y deja aroma fresco en pisos y superficies.;2.40;Stock disponible;18
B166;Paño multiuso x3;Virulana;Limpieza;Paños absorbentes, reutilizables y resistentes.;1.70;Stock disponible;33
B167;Trapeador con escurridor;Virulana;Hogar;Trapeador fácil de usar y limpiar, cabezal giratorio.;4.10;Stock disponible;12
B168;Balde plástico 10L;Virulana;Hogar;Resistente y práctico para limpieza general.;3.40;Stock disponible;15
B169;Guantes de látex x2;Virulana;Limpieza;Protegen las manos durante la limpieza, talla única.;1.60;Stock disponible;25
B170;Detergente máquina lavavajillas 750ml;Finish;Limpieza;Potente contra grasa, brillo en vajilla.;5.10;Stock disponible;17
B171;Pastillas lavavajillas x30;Finish;Limpieza;Tabletas para máquina, limpieza profunda.;9.90;Stock disponible;11
B172;Sal especial lavavajillas 1kg;Finish;Limpieza;Evita sarro y mejora el lavado en máquina.;3.50;Stock disponible;8
B173;Enjuague abrillantador 500ml;Finish;Limpieza;Brillo extra y secado rápido en vajilla.;4.30;Stock disponible;7
B174;Limpiador inodoro gel 750ml;Harpic;Limpieza;Gel desinfectante, limpia y aromatiza.;2.40;Stock disponible;21
B175;Pastillas para inodoro x2;Mr Músculo;Limpieza;Desinfectan, perfuman y evitan sarro.;2.10;Stock disponible;18
B176;Limpiador sanitario en piedra x2;Odex;Limpieza;Elimina sarro, blanquea y aromatiza.;1.90;Stock disponible;20
B177;Ambientador para placard 2u;Poett;Hogar;Perfuma y neutraliza olores en espacios pequeños.;1.60;Stock disponible;25
B178;Desodorante para zapatos 100ml;Odex;Cuidado personal;Elimina olores y deja fragancia duradera.;2.10;Stock disponible;18
B179;Removedor de manchas ropa 500ml;Vanis;Limpieza;Remueve manchas difíciles sin dañar tejidos.;3.30;Stock disponible;17
B180;Jabón líquido ropa delicada 500ml;Skip;Limpieza;Especial para prendas delicadas y colores.;3.00;Stock disponible;15
B181;Quitamanchas en barra 75g;Vanis;Limpieza;Barra práctica para manchas puntuales.;1.70;Stock disponible;19
B182;Blanqueador ropa 1L;Ayudín;Limpieza;Deja la ropa blanca y radiante, uso seguro.;2.60;Stock disponible;18
B183;Quitapelusas manual;Tramontina;Hogar;Remueve pelusas de ropa y tapizados.;3.90;Stock disponible;13
B184;Pulidor de acero 300ml;Virginia;Limpieza;Brillo y protección en acero inoxidable.;2.50;Stock disponible;9
B185;Desodorante en gel 50g;Old Spice;Cuidado personal;Protección y fragancia masculina.;2.90;Stock disponible;17
B186;Crema corporal nutritiva 400ml;Nivea;Cuidado personal;Hidratación intensa, absorción rápida.;3.80;Stock disponible;16
B187;Bálsamo labial 4g;Carmex;Cuidado personal;Repara labios secos y agrietados, sensación refrescante.;2.10;Stock disponible;18
B188;Crema de manos reparadora 75ml;Eucerin;Cuidado personal;Repara y protege manos secas.;4.60;Stock disponible;13
B189;Body splash 120ml;Violetta;Cuidado personal;Refresca y perfuma el cuerpo todo el día.;2.40;Stock disponible;22
B190;Espejo portátil de mano;Marolio;Hogar;Ideal para viajes y uso diario, doble faz.;1.70;Stock disponible;24
B191;Set manicura x4 piezas;Tramontina;Hogar;Incluye tijera, pinza, lima y cortauñas.;4.20;Stock disponible;8
B192;Cortaúñas acero inoxidable;Tramontina;Cuidado personal;Precisión y durabilidad, tamaño estándar.;2.10;Stock disponible;27
B193;Piedra pómez natural;Naturalis;Cuidado personal;Elimina durezas y suaviza los pies.;1.90;Stock disponible;15
B194;Colonia corporal 120ml;Natura;Cuidado personal;Aroma fresco y natural para uso diario.;3.60;Stock disponible;14
B195;Esponja vegetal;Marolio;Cuidado personal;Limpieza suave y natural para cuerpo y rostro.;1.60;Stock disponible;18
B196;Algodón en rollo 100g;Swiss Just;Cuidado personal;Versátil para higiene y belleza.;1.30;Stock disponible;23
B197;Desmaquillante bifásico 150ml;Garnier;Cuidado personal;Elimina maquillaje a prueba de agua, suave con la piel.;3.10;Stock disponible;15
B198;Bálsamo after shave 100ml;Nivea;Cuidado personal;Calma la piel tras el afeitado, no irrita.;2.70;Stock disponible;13
B199;Set baño espuma y esponja;Natura;Cuidado personal;Regalo especial para momentos de relax.;4.50;Stock disponible;7
B200;Jabón íntimo 200ml;Protex;Cuidado personal;PH balanceado, protección y frescura diaria.;2.20;Stock disponible;21
B201;Toallitas húmedas desinfectantes x30;Ayudín;Limpieza;Limpian y desinfectan superficies y manos, sin enjuague.;2.50;Stock disponible;37
B202;Detergente en cápsulas x15;Skip;Limpieza;Limpieza concentrada para ropa en cápsulas individuales.;5.20;Stock disponible;19
B203;Toallas femeninas nocturnas x8;Always;Cuidado personal;Mayor absorción y protección durante la noche.;2.30;Stock disponible;33
B204;Pañuelos descartables x6;Elite;Cuidado personal;Suaves y resistentes para higiene diaria.;2.10;Stock disponible;46
B205;Esponja baño corporal;Naturalis;Cuidado personal;Limpia y exfolia suavemente la piel.;1.50;Stock disponible;15
B206;Repelente de mosquitos spray 120ml;OFF!;Cuidado personal;Protección hasta 8hs contra insectos, aroma neutro.;3.90;Stock disponible;17
B207;Pañales P x20;Babysec;Bebé;Para recién nacidos, extra absorción y suavidad.;6.80;Stock disponible;14
B208;Barra adhesiva 8g;Pritt;Escolar;Ideal para pegar papel y cartulina, sin manchas.;1.10;Stock disponible;42
B209;Cuaderno tapa dura 48h;Rivadavia;Escolar;48 hojas rayadas, tapa dura, excelente calidad.;2.20;Stock disponible;27
B210;Bolígrafo azul x2;BIC;Escolar;Tinta de secado rápido, escritura suave y continua.;1.50;Stock disponible;36
B211;Lápiz negro x3;Faber Castell;Escolar;Mina resistente, escritura precisa y fácil borrado.;1.30;Stock disponible;31
B212;Goma de borrar x2;Maped;Escolar;Borrado limpio sin dañar el papel.;1.10;Stock disponible;18
B213;Regla plástica 20cm;Maped;Escolar;Flexible y resistente, medidas precisas.;1.20;Stock disponible;23
B214;Resaltador amarillo x1;Stabilo;Escolar;Tinta fluorescente, ideal para apuntes y estudio.;1.50;Stock disponible;17
B215;Fibra color x10;Faber Castell;Escolar;Colores intensos, punta resistente para dibujos.;2.50;Stock disponible;21
B216;Mochila escolar 20L;Totto;Escolar;Resistente, varios compartimentos, diseño moderno.;19.00;Stock disponible;7
B217;Lonchera térmica;Paw Patrol;Escolar;Conserva la temperatura, diseño infantil.;8.50;Stock disponible;8
B218;Cinta adhesiva x2;Scotch;Escolar;Para manualidades y embalaje, fácil de cortar.;1.70;Stock disponible;25
B219;Tijera punta roma;Maped;Escolar;Segura para niños, corte preciso.;1.60;Stock disponible;18
B220;Cartuchera triple cierre;Tottenham;Escolar;Práctica y espaciosa, con tres compartimentos.;9.90;Stock disponible;6
B221;Alfajor triple chocolate;Havanna;Alimentos;Clásico alfajor relleno con dulce de leche, bañado en chocolate.;2.60;Stock disponible;33
B222;Galletas chocolate chip 100g;Chocolinas;Alimentos;Galletitas con chips de chocolate, crocantes y deliciosas.;1.90;Stock disponible;27
